"","abreviatura","entidad","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","anual","agnio"
"215","QROO","QUINTANA ROO ",58.4,57.35,37.9,89.175,139,215.4875,165.425,142.425,149.7375,224.1125,116.3375,47.5625,1443.4,"2016"
"216","SLP","SAN LUIS POTOSÍ ",27.55,36.625,11.7875,44.4875,45.45,150.0875,289.5375,106.2125,151.7625,35.1375,25.1875,6.2875,907.871428571429,"2016"
"217","SIN","SINALOA ",8.2375,20.1875,1.475,0.5625,0.55,19.4625,193.0875,226.0875,134.4125,19.9,31.675,14.3125,675.680952380952,"2016"
"218","SON","SONORA ",19.975,18.1,16.95,2.4875,1.8,9.6875,116.4375,109.55,66.0875,6.75,32.95,22.0125,426.242857142857,"2016"
"219","TAB","TABASCO ",159.9,108.15,58.1375,35.7625,124.725,269.4625,266.7625,373.6,409.4625,292.1625,190.4875,110.1875,2402.00952380952,"2016"
"220","TAMPS","TAMAULIPAS ",25.7625,39.35,14.2875,46.65,57.0375,153.6125,150.8125,54.1125,135.0125,31.2875,20.3125,8.5,730.457142857143,"2016"
"221","TLAX","TLAXCALA ",13.2625,25.3375,10.475,33.375,41.2625,128.3125,182.8875,148.9875,105.3125,37.7125,9.7375,1.5375,729.3,"2016"
"222","VER","VERACRUZ ",78.025,40.3375,21.65,48.1875,58.525,189.1875,281.65,304.1375,286.2,149.55,98.9875,35.7125,1579.57619047619,"2016"
"223","YUC","YUCATÁN ",44.7875,22.4125,13.5625,48.3625,77.3625,230.725,156.925,146.125,168.425,128.2625,42.525,23.2625,1117.72380952381,"2016"
"224","ZAC","ZACATECAS ",12.1375,33.5,1.475,1.25,8.15,39.075,119.625,84.725,90.0625,13.8125,7.8375,4.625,416.014285714286,"2016"
"225","AGS","AGUASCALIENTES ",17.5333333333333,40.2,0.683333333333333,0.933333333333333,6.06666666666667,57.1333333333333,120.7,84.7833333333333,76.2333333333333,14.2666666666667,7.2,7.21666666666667,439.593333333333,"2017"
"226","BC","BAJA CALIFORNIA ",19.1166666666667,41.2,33.9833333333333,14.8333333333333,2.21666666666667,0.0333333333333333,4.15,4.11666666666667,7.45,6.68333333333333,19.3833333333333,32.6,179.246666666667,"2017"
